Day,Outdoor Temperature [TC] (°C)
01/01/2019 00:01,24.40
01/01/2019 00:31,24.28
01/01/2019 01:01,24.20
01/01/2019 01:31,24.10
01/01/2019 02:01,24.05
01/01/2019 02:31,23.95
01/01/2019 03:01,23.88
01/01/2019 03:31,23.80
01/01/2019 04:01,23.73
01/01/2019 04:31,23.70
01/01/2019 05:01,23.70
01/01/2019 05:31,23.82
01/01/2019 06:01,24.07
01/01/2019 06:31,24.55
01/01/2019 07:01,25.02
01/01/2019 07:31,25.30
01/01/2019 08:01,25.92
01/01/2019 08:31,26.50
01/01/2019 09:01,27.03
01/01/2019 09:31,27.82
01/01/2019 10:01,28.62
01/01/2019 10:31,29.32
01/01/2019 11:01,29.72
01/01/2019 11:31,30.07
01/01/2019 12:01,30.35
01/01/2019 12:31,30.48
01/01/2019 13:01,30.42
01/01/2019 13:31,28.63
01/01/2019 14:01,28.85
01/01/2019 14:31,28.70
01/01/2019 15:01,27.07
01/01/2019 15:31,26.77
01/01/2019 16:01,26.93
01/01/2019 16:31,26.82
01/01/2019 17:01,26.08
01/01/2019 17:31,25.83
01/01/2019 18:01,25.53
01/01/2019 18:31,25.28
01/01/2019 19:01,25.10
01/01/2019 19:31,25.00
01/01/2019 20:01,25.00
01/01/2019 20:31,24.92
01/01/2019 21:01,24.90
01/01/2019 21:31,24.90
01/01/2019 22:01,24.80
01/01/2019 22:31,24.80
01/01/2019 23:01,24.80
01/01/2019 23:31,24.70
02/01/2019 00:01,24.70
02/01/2019 00:31,24.65
02/01/2019 01:01,24.57
02/01/2019 01:31,24.47
02/01/2019 02:01,24.33
02/01/2019 02:31,24.22
02/01/2019 03:01,24.13
02/01/2019 03:31,24.10
02/01/2019 04:01,24.05
02/01/2019 04:31,24.00
02/01/2019 05:01,24.00
02/01/2019 05:31,24.12
02/01/2019 06:01,24.45
02/01/2019 06:31,24.83
02/01/2019 07:01,25.00
02/01/2019 07:31,25.10
02/01/2019 08:01,25.23
02/01/2019 08:31,25.77
02/01/2019 09:01,26.13
02/01/2019 09:31,26.60
02/01/2019 10:01,27.25
02/01/2019 10:31,28.12
02/01/2019 11:01,28.20
02/01/2019 11:31,28.15
02/01/2019 12:01,27.83
02/01/2019 12:31,27.53
02/01/2019 13:01,27.77
02/01/2019 13:31,27.63
02/01/2019 14:01,27.60
02/01/2019 14:31,27.50
02/01/2019 15:01,27.43
02/01/2019 15:31,27.18
02/01/2019 16:01,26.77
02/01/2019 16:31,26.38
02/01/2019 17:01,26.18
02/01/2019 17:31,26.07
02/01/2019 18:01,25.98
02/01/2019 18:31,25.90
02/01/2019 19:01,25.87
02/01/2019 19:31,25.65
02/01/2019 20:01,25.45
02/01/2019 20:31,25.25
02/01/2019 21:01,25.10
02/01/2019 21:31,25.10
02/01/2019 22:01,25.10
02/01/2019 22:31,25.10
02/01/2019 23:01,25.10
02/01/2019 23:31,25.10
03/01/2019 00:01,25.10
03/01/2019 00:31,25.10
03/01/2019 01:01,25.10
03/01/2019 01:31,25.10
03/01/2019 02:01,25.10
03/01/2019 02:31,25.10
03/01/2019 03:01,25.05
03/01/2019 03:31,25.00
03/01/2019 04:01,24.97
03/01/2019 04:31,24.88
03/01/2019 05:01,24.80
03/01/2019 05:31,24.70
03/01/2019 06:01,24.88
03/01/2019 06:31,25.05
03/01/2019 07:01,25.25
03/01/2019 07:31,25.92
03/01/2019 08:01,26.57
03/01/2019 08:31,27.10
03/01/2019 09:01,27.45
03/01/2019 09:31,27.87
03/01/2019 10:01,28.55
03/01/2019 10:31,28.90
03/01/2019 11:01,29.30
03/01/2019 11:31,29.68
03/01/2019 12:01,30.10
03/01/2019 12:31,29.98
03/01/2019 13:01,30.32
03/01/2019 13:31,31.23
03/01/2019 14:01,30.15
03/01/2019 14:31,29.95
03/01/2019 15:01,28.70
03/01/2019 15:31,28.07
03/01/2019 16:01,27.93
03/01/2019 16:31,27.42
03/01/2019 17:01,24.62
03/01/2019 17:31,23.35
03/01/2019 18:01,23.43
03/01/2019 18:31,23.62
03/01/2019 19:01,23.70
03/01/2019 19:31,23.70
03/01/2019 20:01,23.70
03/01/2019 20:31,23.70
03/01/2019 21:01,23.70
03/01/2019 21:31,23.70
03/01/2019 22:01,23.70
03/01/2019 22:31,23.70
03/01/2019 23:01,23.70
03/01/2019 23:31,23.68
04/01/2019 00:01,23.60
04/01/2019 00:31,23.60
04/01/2019 01:01,23.60
04/01/2019 01:31,23.60
04/01/2019 02:01,23.60
04/01/2019 02:31,23.60
04/01/2019 03:01,23.60
04/01/2019 03:31,23.60
04/01/2019 04:01,23.50
04/01/2019 04:31,23.45
04/01/2019 05:01,23.40
04/01/2019 05:31,23.43
04/01/2019 06:01,23.60
04/01/2019 06:31,24.00
04/01/2019 07:01,24.47
04/01/2019 07:31,24.87
04/01/2019 08:01,25.05
04/01/2019 08:31,25.35
04/01/2019 09:01,26.05
04/01/2019 09:31,26.53
04/01/2019 10:01,27.13
04/01/2019 10:31,28.20
04/01/2019 11:01,29.25
04/01/2019 11:31,29.93
04/01/2019 12:01,30.53
04/01/2019 12:31,30.77
04/01/2019 13:01,31.68
04/01/2019 13:31,31.90
04/01/2019 14:01,31.97
04/01/2019 14:31,31.18
04/01/2019 15:01,30.67
04/01/2019 15:31,29.60
04/01/2019 16:01,28.95
04/01/2019 16:31,28.18
04/01/2019 17:01,27.65
04/01/2019 17:31,27.32
04/01/2019 18:01,26.93
04/01/2019 18:31,26.68
04/01/2019 19:01,26.42
04/01/2019 19:31,26.22
04/01/2019 20:01,26.03
04/01/2019 20:31,25.90
04/01/2019 21:01,25.90
04/01/2019 21:31,25.90
04/01/2019 22:01,25.90
04/01/2019 22:31,25.83
04/01/2019 23:01,25.62
04/01/2019 23:31,25.42
05/01/2019 00:01,25.20
05/01/2019 00:31,25.05
05/01/2019 01:01,24.93
05/01/2019 01:31,24.75
05/01/2019 02:01,24.62
05/01/2019 02:31,24.50
05/01/2019 03:01,24.53
05/01/2019 03:31,24.60
05/01/2019 04:01,24.60
05/01/2019 04:31,24.60
05/01/2019 05:01,24.60
05/01/2019 05:31,24.52
05/01/2019 06:01,24.57
05/01/2019 06:31,24.72
05/01/2019 07:01,24.80
05/01/2019 07:31,24.80
05/01/2019 08:01,24.90
05/01/2019 08:31,24.98
05/01/2019 09:01,25.00
05/01/2019 09:31,25.08
05/01/2019 10:01,25.50
05/01/2019 10:31,26.23
05/01/2019 11:01,26.95
05/01/2019 11:31,27.33
05/01/2019 12:01,27.87
05/01/2019 12:31,28.80
05/01/2019 13:01,29.50
05/01/2019 13:31,30.02
05/01/2019 14:01,28.47
05/01/2019 14:31,26.25
05/01/2019 15:01,25.88
05/01/2019 15:31,26.55
05/01/2019 16:01,27.05
05/01/2019 16:31,26.62
05/01/2019 17:01,26.37
05/01/2019 17:31,26.22
05/01/2019 18:01,26.07
05/01/2019 18:31,25.95
05/01/2019 19:01,25.90
05/01/2019 19:31,25.72
05/01/2019 20:01,25.43
05/01/2019 20:31,25.18
05/01/2019 21:01,25.10
05/01/2019 21:31,25.10
05/01/2019 22:01,25.10
05/01/2019 22:31,25.10
05/01/2019 23:01,25.00
05/01/2019 23:31,24.98
06/01/2019 00:01,24.88
06/01/2019 00:31,24.80
06/01/2019 01:01,24.70
06/01/2019 01:31,24.68
06/01/2019 02:01,24.60
06/01/2019 02:31,24.65
06/01/2019 03:01,24.70
06/01/2019 03:31,24.70
06/01/2019 04:01,24.70
06/01/2019 04:31,24.60
06/01/2019 05:01,24.55
06/01/2019 05:31,24.48
06/01/2019 06:01,24.82
06/01/2019 06:31,25.05
06/01/2019 07:01,25.10
06/01/2019 07:31,25.30
06/01/2019 08:01,25.47
06/01/2019 08:31,25.78
06/01/2019 09:01,26.00
